Category,Item,Qty,Notes/Specs,Seller Link,Price (INR),Price (USD)
Main Controller,ESP32 DevKit V1,1,DevKit V1,https://robu.in/product/esp-wroom-32-wifi-bluetooth-networking-smart-component-development-board/,409,4.40
Power,7.4V 6000mAh 2S LiPo,1,With BMS,Buy Pro-Range NMC 18650 7.4V 6000mAh 3C 2S2P Li-Ion Battery Pack Online at Robu.in,1199,12.70
Power,XT60 connector pair,1,Male+Female,Robocraze XT60 Connector Pair (Yellow),260,2.75
Power,Rocker switch ≥5A,1,Toggle type,https://www.amazon.in/Rocker-Switch-Toggle-Plastic-Electronics/dp/B0GWS1MJB6/,45,0.48
Power,LM2596 Buck Converter,1,7.4V→5V,https://www.amazon.in/LM2596-DC-DC-Buck-Converter-Module/dp/B009P04YTO/,98,1.04
Motor Drivers,TB6612FNG,2,Dual driver,Robu Services,249,2.64
Monitoring,INA219,1,Current sensor,Amazon.in,275,2.92
Monitoring,SSD1306 OLED 0.96",1,I2C OLED,Amazon.in,329,3.50
Cooling,5V brushless fan (30–40mm),1,Exhaust fan,Amazon.in,180,1.91
Cooling,AO3400A MOSFET,1,Logic-level,Amazon.in,84,0.89
Cooling,10kΩ resistor,1,Gate pulldown,Amazon.in,74,0.78
Capacitors,1000µF 16V electrolytic,1,Main rail,Amazon.in,89,0.94
Capacitors,100µF 16V electrolytic,2,TB6612 rails,Amazon.in,79,0.83
Capacitors,0.1µF ceramic,2,TB6612 rails,Amazon.in,79,0.83
Hardware,M3 Screw Kit,1 set,Assorted sizes,Amazon.in,360,3.81
DRIVE,12V geared DC Motor,4,12V 200 RPM,Amazon.in,500,5.29
Cooling,DHT22 temp+humidity sensor,1,Fan controls,Amazon.in,160,1.69
Resistors,100Ω resistor,1,Pull-up,Amazon.in,80,0.85
Wires,JST-XH connectors,4,Battery connectors,Amazon.in,109,1.15
Wires,18AWG silicone wire,1m,High durability,Amazon.in,300,3.17
DRIVE,85mm Wheels,4,Wheels,Amazon.in,749,7.93
Hardware,M3 standoffs,20,Standoffs,Amazon.in,300,3.17
Hardware,12×8 Perfboard,1,Prototype board,Amazon.in,125,1.32
Phone Mount,Rubber Bands,3,Holds phone,Amazon.in,150,1.59
Charger,2S Li-ion charger,1,For battery,Robu.in,676,7.16
Chassis,White PLA 1kg,1,Printed for chassis,Amazon.in,899,9.51
TOTAL,,,,,7857,~85
